model_unique_id,unique_id,label,model,type,partitions,avg_mape,avg_rmse,avg_coverage
model6_LGBMRegressor,ZONA,model6,LGBMRegressor,mlforecast,30,0.03118523009742319,60.78089682996367,0.8138888888888889
model6_LGBMRegressor,ZONB,model6,LGBMRegressor,mlforecast,30,0.053179105343958644,64.487977506194,0.8236111111111111
model6_LGBMRegressor,ZONC,model6,LGBMRegressor,mlforecast,30,0.06439837180274338,117.72222066078766,0.8097222222222222
model5_LGBMRegressor,ZOND,model5,LGBMRegressor,mlforecast,30,0.038788037803889605,27.951120968561145,0.8166666666666667
model6_LGBMRegressor,ZONE,model6,LGBMRegressor,mlforecast,30,0.07773763367186126,70.75692539865307,0.8013888888888889
model6_Ridge,ZONF,model6,Ridge,mlforecast,30,0.05534670074195196,80.18097506428832,0.7805555555555556
model6_LinearRegression,ZONG,model6,LinearRegression,mlforecast,30,0.05593840125726185,62.385198736150095,0.7944444444444444
model5_LGBMRegressor,ZONH,model5,LGBMRegressor,mlforecast,30,0.05008190783461355,15.381295891865289,0.7791666666666667
model6_LGBMRegressor,ZONI,model6,LGBMRegressor,mlforecast,30,0.03679169549823835,25.7436592120251,0.7861111111111111
model6_LGBMRegressor,ZONJ,model6,LGBMRegressor,mlforecast,30,0.02375587179868485,153.83024858882663,0.7763888888888889
model6_LGBMRegressor,ZONK,model6,LGBMRegressor,mlforecast,30,0.040248045465186615,95.80134382001023,0.7763888888888889
